emp_id,emp_name,dept_id,job_level,gender,experience_years,location,salary,bonus,attrition
1,Vikas Yadav,5,Mid,Male,5,Bangalore,71638,29284,Yes
2,Varun Bansal,1,Mid,Female,9,Bangalore,137111,27020,No
3,Ritu Saxena,2,Mid,Female,3,Mumbai,103519,11772,Yes
4,Arjun Das,2,Manager,Female,9,Mumbai,137345,7348,No
5,Pooja Patel,4,Manager,Male,1,Delhi,130311,24135,Yes
6,Vikas Yadav,2,Junior,Male,3,Bangalore,78411,15175,No
7,Swati Joshi,2,Junior,Female,4,Bangalore,62088,11058,No
8,Arjun Das,5,Junior,Female,6,Chennai,141318,9522,No
9,Arjun Das,1,Manager,Female,10,Bangalore,148858,7163,No
10,Neha Gupta,3,Junior,Male,8,Chennai,57360,23667,No
11,Pooja Patel,1,Mid,Female,7,Bangalore,104063,18874,No
12,Priya Singh,4,Mid,Female,8,Mumbai,120915,27540,No
13,Rahul Verma,1,Junior,Male,6,Mumbai,92294,20577,No
14,Sneha Iyer,2,Junior,Female,6,Mumbai,76661,9163,No
15,Anjali Mehta,4,Manager,Female,14,Delhi,104090,15982,No
16,Rahul Verma,1,Mid,Female,6,Bangalore,101869,20172,No
17,Amit Sharma,4,Senior,Female,3,Mumbai,135943,9486,No
18,Sneha Iyer,3,Senior,Female,14,Chennai,48405,19295,No
19,Sneha Iyer,1,Manager,Female,10,Mumbai,76185,18737,No
20,Nisha Agarwal,2,Manager,Female,4,Bangalore,98105,15853,Yes
21,Kavita Nair,4,Manager,Female,11,Mumbai,119301,15158,Yes
22,Karan Malhotra,5,Mid,Male,6,Bangalore,123142,23810,No
23,Ritu Saxena,4,Junior,Female,13,Bangalore,77620,21097,No
24,Ritu Saxena,5,Junior,Female,7,Mumbai,146763,24630,No
25,Swati Joshi,2,Manager,Female,3,Chennai,41578,26895,No
26,Sneha Iyer,3,Mid,Male,4,Delhi,88248,24860,No
27,Varun Bansal,5,Senior,Female,6,Bangalore,134358,9183,No
28,Priya Singh,3,Manager,Male,1,Delhi,78880,10911,No
29,Rohit Kumar,4,Mid,Female,11,Mumbai,60202,18964,No
30,Swati Joshi,2,Manager,Male,7,Bangalore,109963,17912,No
31,Vikas Yadav,5,Mid,Male,13,Bangalore,54381,10208,No
32,Suresh Reddy,4,Mid,Male,11,Mumbai,93320,13178,No
33,Vikas Yadav,1,Manager,Female,1,Delhi,67226,16116,No
34,Aakash Pandey,4,Junior,Female,11,Chennai,114005,8892,No
35,Neha Gupta,3,Manager,Male,13,Mumbai,49095,24163,Yes
36,Deepak Mishra,2,Junior,Female,12,Mumbai,69615,18286,No
37,Aakash Pandey,2,Junior,Male,13,Chennai,82856,11599,No
38,Suresh Reddy,4,Senior,Female,12,Chennai,61210,13646,No
39,Rahul Verma,1,Mid,Female,13,Chennai,35802,25018,Yes
40,Varun Bansal,3,Manager,Male,10,Chennai,133533,28038,No
41,Ritu Saxena,4,Mid,Male,11,Mumbai,144831,24630,No
42,Vikas Yadav,4,Senior,Female,11,Chennai,41841,18222,No
43,Sneha Iyer,2,Junior,Male,9,Delhi,110705,9304,No
44,Pooja Patel,3,Manager,Male,10,Chennai,131572,29180,No
45,Ritu Saxena,1,Mid,Female,9,Bangalore,137565,10432,No
46,Priya Singh,2,Senior,Male,11,Bangalore,94660,7850,No
47,Deepak Mishra,4,Junior,Female,9,Chennai,142187,27007,No
48,Nisha Agarwal,2,Junior,Female,4,Mumbai,130489,23517,No
49,Neha Gupta,2,Mid,Male,2,Mumbai,48921,16529,Yes
50,Aakash Pandey,5,Junior,Male,7,Delhi,77505,26723,Yes
51,Pooja Patel,2,Senior,Male,13,Mumbai,36745,19630,No
52,Neha Gupta,2,Junior,Female,4,Delhi,61443,6721,No
53,Rahul Verma,3,Manager,Male,14,Delhi,45016,23410,No
54,Anjali Mehta,2,Manager,Female,5,Delhi,108755,28033,No
55,Kavita Nair,1,Mid,Male,1,Chennai,143264,19300,No
56,Neha Gupta,4,Senior,Male,11,Mumbai,59012,22570,No
57,Aakash Pandey,3,Junior,Female,12,Bangalore,117617,22534,No
58,Sneha Iyer,2,Junior,Male,10,Delhi,95837,25596,No
59,Rahul Verma,1,Junior,Male,13,Bangalore,48549,6429,No
60,Kavita Nair,4,Manager,Female,6,Delhi,130064,5648,No
61,Neha Gupta,3,Senior,Male,12,Mumbai,107974,29319,Yes
62,Deepak Mishra,1,Junior,Male,7,Chennai,100822,5355,Yes
63,Karan Malhotra,2,Mid,Female,3,Delhi,65422,7823,No
64,Ritu Saxena,5,Senior,Male,10,Delhi,51251,13157,Yes
65,Pooja Patel,5,Senior,Male,2,Bangalore,60466,26502,No
66,Deepak Mishra,3,Junior,Female,13,Chennai,67860,20581,No
67,Pooja Patel,1,Manager,Male,12,Mumbai,36580,12543,No
68,Karan Malhotra,4,Senior,Male,12,Delhi,112551,17126,No
69,Manish Jain,1,Mid,Male,10,Mumbai,78201,10269,Yes
70,Aakash Pandey,5,Senior,Female,7,Chennai,87705,27763,No
71,Ritu Saxena,3,Manager,Male,1,Bangalore,107919,8934,No
72,Manish Jain,2,Mid,Female,2,Chennai,124499,26998,No
73,Suresh Reddy,1,Manager,Male,3,Chennai,45536,12085,No
74,Ritu Saxena,5,Junior,Male,4,Chennai,130378,19032,No
75,Manish Jain,4,Senior,Male,5,Chennai,110692,21650,No
76,Amit Sharma,3,Mid,Male,4,Mumbai,99936,12317,No
77,Vikas Yadav,2,Manager,Male,10,Mumbai,81922,23264,No
78,Suresh Reddy,1,Junior,Male,3,Bangalore,139413,22932,No
79,Amit Sharma,4,Mid,Male,1,Delhi,55344,5381,Yes
80,Sneha Iyer,2,Senior,Male,7,Delhi,143581,6635,No
81,Pooja Patel,5,Senior,Male,12,Chennai,62573,17793,No
82,Arjun Das,5,Manager,Female,10,Chennai,54780,15476,No
83,Swati Joshi,4,Mid,Male,6,Mumbai,88210,16850,No
84,Nisha Agarwal,5,Junior,Female,2,Delhi,84262,12417,Yes
85,Pooja Patel,3,Junior,Female,2,Bangalore,89969,7637,Yes
86,Priya Singh,4,Junior,Male,3,Chennai,30661,20125,No
87,Priya Singh,5,Manager,Female,8,Mumbai,96214,10570,No
88,Amit Sharma,1,Junior,Female,8,Chennai,101899,26233,No
89,Rohit Kumar,5,Mid,Female,10,Chennai,63067,11050,No
90,Kavita Nair,3,Manager,Female,10,Mumbai,112177,23335,No
91,Vikas Yadav,2,Senior,Male,10,Delhi,114682,27329,No
92,Suresh Reddy,2,Manager,Female,12,Delhi,128543,21404,No
93,Vikas Yadav,5,Manager,Male,10,Chennai,87146,17592,No
94,Suresh Reddy,2,Manager,Female,11,Delhi,82452,17891,No
95,Pooja Patel,5,Mid,Female,14,Mumbai,74505,20142,No
96,Sneha Iyer,3,Senior,Female,12,Delhi,53707,6009,No
97,Rahul Verma,2,Senior,Male,8,Chennai,146953,17732,No
98,Amit Sharma,1,Manager,Male,7,Chennai,122624,12779,No
